Message 231: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000041 sec
Message 232: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000134 sec
Message 233: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000026 sec
Message 234: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000052 sec
Message 235: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000078 sec
Message 236: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000067 sec
Message 237: Sent 1400 bytes, Received 1074 bytes, RTT: 0.000050 sec
Message 238: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000042 sec
Message 239: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000042 sec
Message 240: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000065 sec
Message 241: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000053 sec
Message 242: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000048 sec
Message 243: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000045 sec
Message 244: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000028 sec
Message 245: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000043 sec
Message 246: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000041 sec
Message 247: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000018 sec
Message 248: Sent 1400 bytes, Received 1234 bytes, RTT: 0.000029 sec
Message 249: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000050 sec
Message 250: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000026 sec
Message 251: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000051 sec
Message 252: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000041 sec
Message 253: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000042 sec
Message 254: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000040 sec
Message 255: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000131 sec
Message 256: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000038 sec
Message 257: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000048 sec
Message 258: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000061 sec
Message 259: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000047 sec
Message 260: Sent 1400 bytes, Received 40 bytes, RTT: 0.000007 sec
Message 261: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000007 sec
Message 262: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000008 sec
Message 263: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000008 sec
Message 264: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000009 sec
Message 265: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000006 sec
Message 266: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000007 sec
Message 267: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000008 sec
Message 268: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000008 sec
Message 269: Sent 1400 bytes, Received 20 bytes, RTT: 0.000005 sec
Message 270: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000007 sec
Message 271: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000003 sec
Message 272: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000010 sec
Message 273: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000005 sec
Message 274: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000009 sec
Message 275: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000008 sec
Message 276: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000007 sec
Message 277: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000009 sec
Message 278: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000004 sec
Message 279: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000021 sec
Message 280: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000004 sec
Message 281: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000009 sec
Message 282: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000009 sec
Message 283: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000008 sec
Message 284: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000009 sec
Message 285: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000013 sec
Message 286: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000009 sec
Message 287: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000008 sec
Message 288: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000009 sec
Message 289: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000008 sec
Message 290: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000008 sec
Message 291: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000009 sec
Message 292: Sent 1400 bytes, Received 1154 bytes, RTT: 0.000007 sec
Message 293: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000008 sec
Message 294: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000009 sec
Message 295: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000008 sec
Message 296: Sent 1400 bytes, Received 1094 bytes, RTT: 0.000009 sec
Message 297: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000012 sec
Message 298: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000009 sec
